"CBC;RBC (Red Blood Cells);Low;""1. Punarnava Mandur: Take 2 tablets (500 mg each) twice daily after meals with warm water for 8 weeks — classical iron-rich Ayurvedic formulation that directly stimulates RBC production in bone marrow. | 2. Shatavari Churna: Take 5 g with warm milk twice daily (morning and bedtime) for 8 weeks — a potent Rasayana that nourishes Rakta Dhatu and promotes erythropoiesis. | 3. Guduchi Swarasa: Take 20 ml fresh Guduchi juice with equal water every morning on empty stomach for 6 weeks — powerful immunomodulator that corrects RBC quantitative deficiency. | 4. Chyawanprash: Take 2 teaspoons with warm milk every morning for 12 weeks — rich multi-herb formulation that enhances haematopoiesis and RBC longevity. | 5. Mandur Bhasma: Take 250 mg twice daily with buttermilk after meals for 6–8 weeks under physician supervision — directly stimulates red blood cell formation in bone marrow. | 6. Vidarikanda Churna: Take 3 g with warm milk at bedtime for 6 weeks — nourishes Rakta Dhatu and improves bone marrow vitality. | 7. Dhatri Lauha: Take 250 mg twice daily after meals with honey for 6 weeks — combines Amla and iron to directly stimulate RBC production."";""1. Practice Kapalbhati Pranayama for 10–15 minutes daily — stimulates bone marrow and spleen", primary organs of RBC production. | 2. Perform Yoga Nidra for 20–30 minutes daily to rejuvenate bone marrow and nervous system. | 3. Brisk walking for 30–45 minutes daily stimulates kidneys to release erythropoietin (EPO) triggering RBC production. | 4. Avoid overwork, excessive physical exertion," and dehydration — these cause Dhatu Kshaya (tissue depletion) directly reducing RBC count. | 5. Maintain consistent mealtimes to keep Agni strong for proper nutrient assimilation. | 6. Avoid alcohol completely — directly toxic to bone marrow and suppresses RBC production. | 7. Manage stress through daily 15–20 minutes meditation — chronic stress suppresses haematopoiesis."";""1. Eat dark green leafy vegetables daily — rich in folate essential for RBC maturation and DNA synthesis. | 2. Include Vitamin B12 sources: dairy", eggs, and for non-vegetarians goat liver once a week. | 3. Consume copper-rich foods: sesame seeds, cashews, lentils — copper is essential for iron conversion into haemoglobin. | 4. Drink 2.5–3 litres of water daily — dehydration reduces plasma volume and impairs erythropoietin release. | 5. Eat 5–7 soaked almonds daily — rich in Vitamin E and copper," they protect RBC membranes from oxidative damage. | 6. Include beetroot juice (200 ml) daily — directly supports haematopoiesis and bone marrow activity. | 7. Avoid refined sugar and processed carbohydrates — promote oxidative stress which destroys RBCs prematurely.""",,,,,,,,,,,,,,,,,,,,
"Electrolytes;Sodium;Low;""1. Punarnavasava: Take 15 ml with equal water twice daily after meals for 6 weeks — improves fluid and sodium balance through renal mechanisms. | 2. Chandraprabha Vati: Take 2 tablets twice daily for 6 weeks — restores electrolyte homeostasis. | 3. Ashwagandha Churna: Take 5 g with warm milk at bedtime for 6 weeks — improves adrenal function which regulates sodium balance. | 4. Note: Severe hyponatraemia is a medical emergency — physician evaluation and correction is mandatory; Ayurvedic remedies support recovery."";""1. Identify and treat the underlying cause: vomiting", diarrhoea, diuretics, heart failure," or adrenal insufficiency — with physician guidance. | 2. Avoid drinking excessive plain water without electrolytes — this worsens dilutional hyponatraemia. | 3. Rest and avoid physical exertion during active hyponatraemia. | 4. Monitor fluid intake carefully."";""1. Drink ORS (Oral Rehydration Solution) or homemade electrolyte drink: 1 litre water", 1/2 teaspoon salt, 6 teaspoons sugar, juice of 1 lemon — sip throughout the day. | 2. Eat sodium-containing foods: light soups with salt, salted buttermilk (chaas with salt)," and coconut water with a pinch of salt. | 3. Do not follow low-sodium diet during active hyponatraemia. | 4. Eat small frequent meals with mild salt at every meal.""",,,,,,,,,,,,,,,,,,,
"Electrolytes;Sodium;High;""1. Punarnava Churna: Take 3 g twice daily for 8 weeks — natural diuretic that increases renal sodium excretion. | 2. Triphala Churna: Take 5 g at bedtime for 6 weeks — reduces fluid retention associated with hypernatraemia. | 3. Gokshura Churna: Take 3 g twice daily for 6 weeks — promotes diuresis and sodium excretion."";""1. Increase fluid intake to 3–4 litres of plain water daily — rehydration is the primary treatment for hypernatraemia. | 2. Reduce dietary sodium strictly — no added salt", no processed foods, no pickles, no papad. | 3. Address the underlying cause: diabetes insipidus, dehydration," or excessive salt intake — with physician. | 4. Avoid diuretics without physician guidance."";""1. Strictly avoid added salt in cooking and at the table. | 2. Avoid high-sodium processed foods: pickles", papad, chips, packaged snacks, bread. | 3. Drink plain water, coconut water (low sodium), and herbal teas throughout the day. | 4. Eat potassium-rich foods to balance sodium: bananas, sweet potatoes," and leafy greens.""",,,,,,,,,,,,,,,
"Electrolytes;Potassium;Low;""1. Ashwagandha Churna: Take 5 g with warm milk at bedtime for 6 weeks — adrenal support reduces aldosterone excess that causes hypokalaemia. | 2. Chandraprabha Vati: Take 2 tablets twice daily for 6 weeks — restores electrolyte balance. | 3. Note: Potassium supplementation for true hypokalaemia requires physician supervision — cardiac arrhythmias can occur."";""1. Identify and treat the cause: diarrhoea", vomiting, diuretics, or poor intake — with physician. | 2. Avoid excessive tea and coffee — mild diuretic effect increasing potassium loss. | 3. If on diuretics," discuss potassium-sparing alternatives with physician. | 4. Avoid excessive laxative use."";""1. Eat potassium-rich foods at every meal: bananas (1 daily)", sweet potatoes, spinach, tomatoes, coconut water (300 ml daily), oranges," and lentils. | 2. Prepare coconut water with a banana smoothie as a daily mid-morning drink. | 3. Include avocado (high potassium) if available. | 4. Avoid refined and processed foods — these contain little potassium. | 5. Cook with potato skins intact — potassium is concentrated in and under the skin.""",,,,,,,,,,,,,,,,,,
"Electrolytes;Potassium;High;""1. Triphala Churna: Take 5 g at bedtime for 6 weeks — improves gut and renal potassium excretion. | 2. Punarnava Churna: Take 3 g twice daily for 6 weeks — promotes diuresis and potassium excretion. | 3. Note: Severe hyperkalaemia is a cardiac emergency — requires immediate physician attention; do not attempt Ayurvedic self-treatment alone."";""1. Physician evaluation is urgent for high potassium — risk of life-threatening cardiac arrhythmia. | 2. Avoid all potassium supplements and potassium-sparing diuretics. | 3. Treat underlying cause: kidney disease", ACE inhibitors," Addison disease. | 4. Increase fluid intake."";""1. Strictly avoid high-potassium foods: bananas", oranges, potatoes, tomatoes, spinach, coconut water, dried fruits, nuts, and legumes. | 2. Leach vegetables by peeling, cutting small, soaking in water for 2 hours," and boiling in large water — significantly reduces potassium content. | 3. Avoid salt substitutes — they contain potassium chloride. | 4. Avoid protein supplements.""",,,,,,,,,,,,,,,
"Electrolytes;Chloride;Low;""1. Chandraprabha Vati: Take 2 tablets twice daily for 6 weeks — restores electrolyte balance. | 2. Note: Low chloride is usually from vomiting", gastric drainage," or metabolic alkalosis — treat the underlying cause with physician."";""1. Treat underlying vomiting or gastric drainage. | 2. Rehydrate with ORS solution. | 3. Consult physician for metabolic alkalosis."";""1. Drink ORS (Oral Rehydration Solution) throughout the day. | 2. Eat foods with natural sodium chloride: salted buttermilk"," soups with salt.""",,,,,,,,,,,,,,,,,,,,,,,,,
"Electrolytes;Chloride;High;""1. Punarnava Churna: Take 3 g twice daily for 6 weeks — promotes diuresis and chloride excretion. | 2. Gokshura Churna: Take 3 g twice daily for 6 weeks — increases renal excretion. | 3. Chandraprabha Vati: Take 2 tablets twice daily for 6 weeks — normalises electrolyte balance. | 4. Note: High chloride (hyperchloraemia) indicates metabolic acidosis", dehydration," or renal tubular acidosis — physician evaluation is essential."";""1. Identify and treat the underlying cause with physician. | 2. Increase fluid intake to 3–4 litres daily. | 3. Reduce dietary salt strictly. | 4. Avoid excessive saline IV fluids (in hospital setting)."";""1. Avoid added salt and high-sodium foods. | 2. Increase fluid intake with plain water and herbal teas. | 3. Eat alkaline-promoting foods: fresh fruits and vegetables. | 4. Avoid acidic beverages: soft drinks"," sports drinks.""",,,,,,,,,,,,,,,,,,,,,,,,,
"Iron Studies;Serum Iron;Low;""1. Punarnava Mandur: Take 2 tablets twice daily after meals for 8 weeks — replenishes iron stores directly. | 2. Lohasava: Take 15 ml with equal water twice daily after meals for 8 weeks. | 3. Mandur Bhasma: Take 250 mg twice daily with buttermilk after meals for 6–8 weeks. | 4. Amla Juice: Take 20 ml with equal water every morning on empty stomach for 8 weeks — Vitamin C maximises iron absorption. | 5. Black Sesame Paste: 1 tablespoon soaked and ground with jaggery"," every morning on empty stomach for 4 weeks."";""1. Cook in iron cookware exclusively. | 2. Pair all iron-rich foods with Vitamin C at every meal. | 3. Avoid tea and coffee within 1 hour of meals. | 4. Identify and address any bleeding source. | 5. Practice Anulom Vilom Pranayama for 15 minutes daily."";""1. Eat iron-rich foods at every meal: spinach", horse gram, sesame seeds, pomegranate, jaggery, raisins. | 2. Always pair with Vitamin C: lemon, amla," tomato. | 3. Sprout all legumes before cooking. | 4. Drink 200 ml pomegranate juice every morning.""",,,,,,,,,,,,,,,,,,,,
"Iron Studies;Serum Iron;High;""1. Triphala Churna: Take 5 g at bedtime for 8 weeks — chelates excess iron in the gut and improves its regulated excretion. | 2. Manjistha Churna: Take 3 g twice daily for 6 weeks — purifies iron-overloaded blood. | 3. Note: Very high serum iron suggests haemochromatosis or haemolytic anaemia — physician evaluation and phlebotomy may be required; avoid all iron supplements immediately."";""1. Stop all iron supplements immediately. | 2. Avoid iron cookware. | 3. Consult physician for further evaluation — haemochromatosis is genetic and requires medical treatment. | 4. Avoid alcohol — worsens iron-induced liver damage."";""1. Avoid all iron-rich foods: red meat", organ meats, iron-fortified foods, and dark leafy greens in excess. | 2. Drink tea or coffee with meals — for once," tannins are beneficial as they block iron absorption. | 3. Eat calcium-rich dairy with meals — calcium competes with iron absorption. | 4. Include whole grains with phytates (without soaking) to reduce iron absorption.""",,,,,,,,,,,,,,,,,,,,,,,,
"Iron Studies;UIBC;Low;""1. Bhumyamalaki Capsules: Take 500 mg twice daily for 8 weeks — improves liver function for transferrin production. | 2. Ashwagandha Churna: Take 5 g with warm milk at bedtime for 8 weeks — supports protein synthesis including transferrin. | 3. Note: Low UIBC indicates transferrin saturation — seen in iron overload or liver disease."";""1. Rule out iron overload and liver disease with physician. | 2. Stop all iron supplements. | 3. Ensure adequate protein intake for transferrin synthesis."";""1. Ensure adequate protein intake for transferrin production. | 2. Avoid iron supplements and fortified foods.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iron Studies;UIBC;High;""1. Punarnava Mandur: Take 2 tablets twice daily after meals for 8 weeks — corrects iron deficiency raising transferrin utilisation. | 2. Amla Juice: Take 20 ml every morning for 8 weeks. | 3. Note: High UIBC indicates iron deficiency anaemia — treat with iron-replenishing formulations."";""Same as Serum Iron Low — identify bleeding sources", cook in iron cookware," avoid tea with meals."";""Same as Serum Iron Low — eat iron-rich foods with Vitamin C at every meal.""",,,,,,,,,,,,,,,,,,,,,,,,,,
"Iron Studies;TIBC;Low;""1. Bhumyamalaki Capsules: Take 500 mg twice daily for 8 weeks — improves liver function for transferrin production. | 2. Note: Low TIBC indicates liver disease", malnutrition," or chronic inflammation — treat the underlying cause."";""1. Address underlying liver disease or inflammatory condition. | 2. Ensure adequate protein intake. | 3. Treat any chronic infection."";""1. Eat adequate protein daily. | 2. Eat anti-inflammatory foods. | 3. Address malnutrition comprehensively.""",,,,,,,,,,,,,,,,,,,,,,,,,,
"Iron Studies;TIBC;High;""1. Punarnava Mandur: Take 2 tablets twice daily for 8 weeks — corrects iron deficiency that causes elevated TIBC. | 2. Lohasava: Take 15 ml with equal water twice daily for 8 weeks. | 3. Mandur Bhasma: Take 250 mg twice daily for 6–8 weeks. | 4. Note: High TIBC is the most specific indicator of iron deficiency — treat iron deficiency aggressively."";""Same as Serum Iron Low."";""Same as Serum Iron Low.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iron Studies;% Iron Saturation;Low;""1. Punarnava Mandur: Take 2 tablets twice daily after meals for 8 weeks. | 2. Lohasava: Take 15 ml with equal water twice daily for 8 weeks. | 3. Mandur Bhasma: Take 250 mg twice daily for 6–8 weeks. | 4. Amla Juice: Take 20 ml with equal water every morning for 8 weeks."";""Same as Serum Iron Low."";""Same as Serum Iron Low.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iron Studies;% Iron Saturation;High;""1. Triphala Churna: Take 5 g at bedtime for 8 weeks. | 2. Manjistha Churna: Take 3 g twice daily for 6 weeks. | 3. Note: High % saturation indicates iron overload or haemochromatosis — physician evaluation required."";""Stop all iron supplements. Avoid iron cookware. Consult physician."";""Avoid iron-rich and fortified foods. Drink tea with meals to block absorption.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iron Studies;Ferritin;Low;""1. Punarnava Mandur: Take 2 tablets twice daily after meals for 8 weeks — replenishes iron stores and raises ferritin. | 2. Lohasava: Take 15 ml with equal water twice daily for 8 weeks. | 3. Mandur Bhasma: Take 250 mg twice daily with buttermilk after meals for 6–8 weeks. | 4. Amla Juice: Take 20 ml with equal water every morning for 8 weeks. | 5. Note: Low ferritin is the earliest and most sensitive marker of iron depletion — treat early."";""1. Cook in iron cookware exclusively. | 2. Pair iron foods with Vitamin C at every meal. | 3. Avoid tea and coffee with meals. | 4. Identify and address any occult bleeding with physician. | 5. Regular light exercise to improve iron absorption and utilisation."";""Same as Serum Iron Low.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iron Studies;Ferritin;High;""1. Manjistha Churna: Take 3 g twice daily for 6 weeks — Rakta Shodhana herb reducing iron overload inflammation. | 2. Triphala Churna: Take 5 g at bedtime for 8 weeks — reduces oxidative iron storage. | 3. Note: Very high ferritin indicates iron overload", liver disease, infection," or cancer — urgent physician evaluation required."";""1. Stop all iron supplements immediately. | 2. Physician evaluation is mandatory for very high ferritin. | 3. Avoid alcohol — worsens iron-induced liver damage. | 4. Consult physician regarding therapeutic phlebotomy."";""1. Avoid all iron supplements and fortified foods. | 2. Drink tea with meals to block iron absorption. | 3. Eat calcium-rich dairy with meals. | 4. Avoid red meat and organ meats.""",,,,,,,,,,,,,,,,,,,,,,,,,
"Minerals;Phosphorous;Low;""1. Ashwagandha Churna: Take 5 g with warm milk at bedtime for 8 weeks — improves hormonal balance (PTH regulation) restoring phosphorus levels. | 2. Shatavari Churna: Take 5 g with warm milk twice daily for 8 weeks — improves gut absorption of phosphorus. | 3. Praval Pishti: Take 250 mg twice daily after meals for 6 weeks — mineral-rich classical preparation supporting phosphorus-calcium balance. | 4. Note: Hypophosphatemia can cause muscle weakness and bone pain — physician evaluation is important."";""1. Identify the underlying cause with physician: malabsorption", hyperparathyroidism," or refeeding syndrome. | 2. Avoid aluminium antacids — they bind phosphorus in the gut preventing absorption. | 3. Practice weight-bearing exercise — supports phosphorus retention in bone. | 4. Ensure adequate Vitamin D levels — required for phosphorus absorption."";""1. Eat phosphorus-rich foods at every meal: dairy (paneer", milk, curd), eggs, fish, poultry, lentils, seeds, and nuts. | 2. Drink 1 glass of warm cow milk every morning and night — milk is the single richest," most bioavailable source of phosphorus. | 3. Eat pumpkin seeds (30 g daily) — one of the richest plant sources of phosphorus. | 4. Include whole grains and legumes at every meal. | 5. Ensure Vitamin D is adequate — Vitamin D deficiency impairs phosphorus absorption.""",,,,,,,,,,,,,,,,,
"Minerals;Phosphorous;High;""1. Punarnava Churna: Take 3 g twice daily for 8 weeks — improves renal phosphorus excretion. | 2. Gokshura Churna: Take 3 g twice daily for 8 weeks — diuretic that increases renal phosphate clearance. | 3. Note: High phosphorus in kidney disease requires urgent physician management — phosphate binders may be required."";""1. Physician evaluation is essential for elevated phosphorus. | 2. Drink 2.5–3 litres water daily to promote renal phosphorus excretion. | 3. Limit phosphorus-rich foods. | 4. Avoid phosphate-containing antacids."";""1. Strictly limit high-phosphorus foods: dairy", processed foods (contain phosphate preservatives), cola drinks, organ meats," and processed cheese. | 2. Avoid cola and carbonated drinks — extremely high in phosphoric acid. | 3. Cook phosphorus-rich foods by boiling and discarding water — leaches out phosphorus.""",,,,,,,,,,,,,,,,,,,,,,,,
"Minerals;LDH (Lactate Dehydrogenase);Low;""1. Note: Very low LDH is extremely rare and not clinically significant."";""No specific recommendation needed."";""Maintain a balanced nutritious diet.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Minerals;LDH (Lactate Dehydrogenase);High;""1. Guduchi Swarasa: Take 20 ml with equal water every morning for 8 weeks — reduces cellular damage and tissue breakdown causing LDH elevation. | 2. Turmeric Capsules: Take 500 mg twice daily for 8 weeks — curcumin reduces cellular oxidative stress driving LDH release. | 3. Ashwagandha Churna: Take 5 g with warm milk at bedtime for 8 weeks — reduces cellular damage from oxidative stress. | 4. Arjuna Churna: Take 3 g twice daily for 8 weeks — cardioprotective; reduces cardiac-origin LDH elevation. | 5. Note: Significantly elevated LDH requires physician evaluation — may indicate heart attack", haemolysis, liver disease, cancer," or lung disease."";""1. Physician evaluation is mandatory for markedly elevated LDH — it indicates significant tissue damage somewhere. | 2. Avoid strenuous exercise — intense physical activity is a common benign cause of mildly elevated LDH. | 3. Rest adequately. | 4. Avoid alcohol — liver damage from alcohol is a common LDH elevation cause. | 5. Manage any cardiac conditions with physician guidance."";""1. Eat antioxidant-rich foods generously: turmeric", ginger, amla, berries," dark leafy greens — reduce cellular oxidative damage causing LDH release. | 2. Drink warm turmeric-ginger water every morning. | 3. Avoid fried and processed foods. | 4. Eat lean proteins to support cellular repair. | 5. Include omega-3-rich foods: flaxseeds and walnuts.""",,,,,,,,,,,,,,,,,,,,
"Minerals;Magnesium;Low;""1. Ashwagandha Churna: Take 5 g with warm milk at bedtime for 8 weeks — contains natural magnesium and improves cellular magnesium retention. | 2. Shatavari Churna: Take 5 g with warm milk twice daily for 8 weeks — improves gut absorption of magnesium. | 3. Note: Hypomagnesaemia causes muscle cramps", palpitations," and anxiety — physician evaluation is important."";""1. Identify and treat the underlying cause: alcoholism", malabsorption," or prolonged diuretic use. | 2. Manage stress — chronic stress depletes magnesium through urinary excretion. | 3. Reduce caffeine intake — caffeine increases urinary magnesium loss. | 4. Practice Yoga Nidra and deep relaxation — reduces magnesium wasting from stress hormones."";""1. Eat magnesium-rich foods at every meal: dark chocolate (85% — 2 squares daily)", pumpkin seeds (30 g daily), almonds (1 handful daily), spinach, black beans," and avocado. | 2. Drink coconut water (200 ml) daily — a natural source of magnesium and electrolytes. | 3. Soak 15 almonds overnight and eat every morning on empty stomach. | 4. Include ragi (finger millet) daily — rich in magnesium. | 5. Avoid excess alcohol and caffeine which deplete magnesium.""",,,,,,,,,,,,,,,,,,,
"Minerals;Magnesium;High;""1. Punarnava Churna: Take 3 g twice daily for 6 weeks — promotes renal magnesium excretion. | 2. Gokshura Churna: Take 3 g twice daily for 6 weeks — diuretic promoting excretion. | 3. Note: Severe hypermagnesaemia requires emergency physician treatment — causes cardiac arrest."";""1. Physician evaluation urgently for high magnesium — risk of cardiac arrest. | 2. Stop all magnesium supplements immediately. | 3. Avoid magnesium-containing antacids and laxatives. | 4. Increase fluid intake to promote renal excretion."";""1. Avoid all magnesium supplements. | 2. Avoid magnesium-rich foods temporarily: nuts", seeds, dark chocolate," leafy greens. | 3. Drink adequate water to promote renal magnesium excretion.""",,,,,,,,,,,,,,,,,,,,,,,,,
"Vitamins;Vitamin B12;Low;""1. Methylcobalamin Supplement: Take 1500 mcg sublingual methylcobalamin every morning — sublingual absorption bypasses gut malabsorption"," which is the most common cause of B12 deficiency in vegetarians. Alongside: | 2. Shatavari Churna: Take 5 g with warm milk twice daily for 12 weeks — nourishes gastric mucosa and promotes Intrinsic Factor production for improved B12 absorption from food. | 3. Triphala Churna: Take 3 g at bedtime for 8 weeks — improves gut health and ileal absorption where B12 is absorbed. | 4. Ashwagandha Churna: Take 5 g with warm milk at bedtime for 12 weeks — supports neurological recovery from B12 deficiency including peripheral neuropathy. | 5. Brahmi Ghrita: Take 1 teaspoon with warm milk at bedtime for 8 weeks — supports neurological pathways affected by B12 deficiency. | 6. Chyawanprash: Take 2 teaspoons with warm milk every morning for 12 weeks — comprehensive multi-nutrient support for B12-depleted states."";""1. Eat B12-rich foods at every single meal — vegetarians are at extremely high risk of B12 deficiency and require active daily dietary effort. | 2. Improve gut health — B12 absorption depends entirely on healthy gastric mucosa producing Intrinsic Factor and healthy ileal absorption; follow gut health protocols. | 3. Avoid long-term use of antacids (PPIs"," H2 blockers) — these suppress stomach acid essential for B12 release from food; review with physician. | 4. Avoid metformin (if diabetic) without discussing B12 monitoring with physician — metformin is one of the most common drug causes of B12 depletion. | 5. Practice Dinacharya including tongue scraping and oil pulling — these improve oral and gut microbiome health supporting B-vitamin synthesis. | 6. Manage stress — chronic stress impairs gastric acid production reducing B12 absorption."";""1. Eat B12-rich foods at every meal: cow milk (250 ml", twice daily), paneer (100 g daily), curd (1 bowl, twice daily), eggs (2 daily for ovo-vegetarians) — these are the only reliable vegetarian B12 sources. | 2. Include fermented foods: idli, dosa, curd, buttermilk, dhokla — fermentation increases microbial B12 content slightly but cannot fully replace direct B12 sources. | 3. For non-vegetarians: include liver (goat liver once weekly — the single richest dietary B12 source providing over 1000 mcg per 100g), fish," and chicken. | 4. Avoid excess alcohol — damages gastric mucosa and impairs B12 absorption. | 5. Take sublingual B12 supplements on empty stomach for maximum absorption.""",,,,,,,,,,,,,,,
"Vitamins;Vitamin B12;High;""1. Note: High B12 from food or supplements is generally not toxic and usually resolves upon stopping supplementation. Very high levels may require physician evaluation to rule out liver disease", leukaemia," or myeloproliferative disorders. | 2. Triphala Churna: Take 3 g at bedtime for 4 weeks — general detoxifier supporting hepatic B12 clearance."";""1. Stop B12 supplements until levels normalise. | 2. Reduce B12-rich foods (liver", eggs," dairy) moderately. | 3. Physician evaluation if B12 is dramatically elevated without supplement use."";""1. Reduce intake of B12-rich foods temporarily: reduce liver", organ meats," and eggs. | 2. Maintain a plant-predominant diet during normalisation period.""",,,,,,,,,,,,,,,,,,,,,,
"Vitamins;Vitamin D;Low;""1. Shatavari Churna: Take 5 g with warm milk twice daily for 12 weeks — nourishes gut mucosa improving fat-soluble Vitamin D absorption. | 2. Ashwagandha Churna: Take 5 g with warm milk at bedtime for 12 weeks — improves Vitamin D receptor sensitivity and supports bones affected by D deficiency. | 3. Praval Pishti: Take 250 mg twice daily after meals for 8 weeks — provides calcium and supports bone health while Vitamin D is being corrected. | 4. Shilajit (Purified): Take 250–500 mg with warm milk every morning for 12 weeks — improves Vitamin D receptor function and bone mineral density. | 5. Vitamin D3 Supplement (recommended alongside Ayurvedic support): 60","000 IU weekly sachet for 8 weeks then 2000 IU daily maintenance — biochemically essential as food alone rarely corrects deficiency; Ayurvedic herbs support optimal utilisation of supplemented D3."";""1. Daily sunlight exposure for 30–45 minutes — expose maximum skin to morning sunlight (7–9 AM) every single day without sunscreen. This is the most critical intervention for Vitamin D production; no supplement fully replicates sun-synthesised Vitamin D. | 2. Practice Surya Namaskar (sun salutation) outdoors every morning — combines sunlight exposure with yoga for dual benefit. | 3. Exercise outdoors for 30–45 minutes daily — exercise improves Vitamin D receptor expression in muscles and bones. | 4. Lose weight if overweight — Vitamin D is sequestered in adipose tissue reducing blood levels. | 5. Avoid SPF sunscreen during the morning sun exposure period (remove after sun bath) — sunscreen blocks Vitamin D synthesis entirely. | 6. Sleep 8 hours consistently — deep sleep is required for Vitamin D metabolism in liver and kidney."";""1. Eat Vitamin D-rich foods at every meal: cow milk (250 ml twice daily)", eggs (2 daily, especially the yolk — egg yolk contains 100% of the egg's Vitamin D), full-fat curd, paneer, and fatty fish (salmon, sardines, mackerel) for non-vegetarians (3–4 times weekly). | 2. Prepare sun-dried mushrooms: slice any mushroom variety and place gill-side up in direct sunlight for 2 hours — Vitamin D content increases up to 100-fold; eat 100 g of sun-dried mushrooms 3 times weekly. | 3. Cook with cow's ghee daily (1–2 teaspoons) — Vitamin D is fat-soluble and requires dietary fat for absorption; ghee as the cooking medium improves absorption of all fat-soluble vitamins. | 4. Eat Vitamin D alongside Vitamin K2-rich foods: fermented foods, natto, and full-fat dairy — K2 ensures D-absorbed calcium is deposited in bones not arteries. | 5. Ensure adequate magnesium — magnesium is required for Vitamin D conversion in liver and kidney; eat pumpkin seeds, almonds," and spinach daily.""",,,,,,,,,,,,,,,,
"Vitamins;Vitamin D;High;""1. Triphala Churna: Take 5 g at bedtime for 4 weeks — improves renal Vitamin D excretion. | 2. Punarnava Churna: Take 3 g twice daily for 4 weeks — promotes diuresis helping excrete excess Vitamin D-induced calcium. | 3. Note: Vitamin D toxicity is almost always from over-supplementation — stop all D3 supplements immediately."";""1. Stop all Vitamin D supplements immediately. | 2. Stop all calcium supplements. | 3. Reduce sun exposure temporarily. | 4. Increase fluid intake to 3–4 litres daily to prevent calcium kidney stones. | 5. Physician evaluation — Vitamin D toxicity causes hypercalcaemia which can be dangerous."";""1. Avoid all Vitamin D-rich foods temporarily: fatty fish", egg yolk," fortified dairy. | 2. Stop all calcium supplements. | 3. Stay very well hydrated. | 4. Avoid calcium-rich foods temporarily.""",,,,,,,,,,,,,,,,,,,,,,,,,,
"Urine;Protein (Urine);Absent (Normal);""No intervention needed — maintaining kidney health is the goal. | 1. Punarnava Churna: Take 3 g twice daily for 8 weeks as a preventive nephroprotective. | 2. Gokshura Churna: Take 3 g twice daily for 8 weeks."";""Maintain adequate hydration. Exercise regularly. Control blood pressure and blood sugar."";""Eat a kidney-friendly balanced diet. Stay well hydrated.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Urine;Protein (Urine);Present/High;""1. Punarnava Churna: Take 3 g twice daily for 12 weeks — reduces proteinuria by improving glomerular membrane integrity. | 2. Gokshura Churna: Take 3 g twice daily for 12 weeks — reduces protein leakage through nephroprotective action. | 3. Chandraprabha Vati: Take 2 tablets twice daily for 12 weeks — reduces proteinuria in early kidney disease. | 4. Shatavari Churna: Take 5 g with warm milk twice daily for 12 weeks — renal protective Rasayana. | 5. Varunadi Kwath: Take 30 ml with equal water twice daily for 8 weeks — classical kidney rejuvenating formulation reducing proteinuria."";""1. Control blood pressure strictly (target below 130/80) — hypertension is the leading cause of proteinuria and kidney damage. | 2. Control blood glucose strictly if diabetic — diabetic nephropathy is the leading cause of proteinuria. | 3. Drink 2.5–3 litres water daily. | 4. Avoid NSAIDs completely — nephrotoxic. | 5. Reduce dietary protein moderately. | 6. Physician evaluation is mandatory — proteinuria can indicate kidney disease", hypertension-related nephropathy," or diabetes."";""1. Follow a low-sodium diet strictly: no added salt", no pickles," no processed foods. | 2. Reduce protein intake moderately — shift from animal to plant proteins. | 3. Drink barley water throughout the day — classical Ayurvedic nephroprotective drink. | 4. Eat Punarnava leaves as a vegetable 2–3 times weekly. | 5. Avoid high-potassium foods if kidney function is also impaired. | 6. Avoid spicy and fried foods.""",,,,,,,,,,,,,,,,,,,,,,,,
"Urine;Glucose (Urine);Negative (Normal);""No intervention needed."";""Control blood glucose through diet and exercise."";""Maintain low glycaemic diet.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Urine;Glucose (Urine);Present/High;""1. Vijaysar Water: Soak overnight in Vijaysar cup"," drink every morning on empty stomach for 12 weeks. | 2. Karela Juice: 30 ml with equal water every morning for 12 weeks. | 3. Gurmar Capsules: 400 mg twice daily before meals for 12 weeks. | 4. Jamun Seed Powder: 3 g twice daily before meals for 12 weeks. | 5. Note: Glycosuria (glucose in urine) always indicates blood glucose above renal threshold (~180 mg/dL) or rarely renal glycosuria — physician evaluation mandatory."";""Walk 45–60 minutes daily. Control diet strictly. Monitor blood glucose. Manage stress."";""Follow diabetic diet strictly. Eliminate sugar and refined carbohydrates.""",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Urine;Ketones (Urine);Negative (Normal);""No intervention needed."";""Maintain regular mealtimes. Avoid prolonged fasting."";""Maintain balanced diet with adequate carbohydrates.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
